tweetID	 gramID	 count
230	276	1
230	468	1
230	16282	1
230	1044	1
231	451	1
231	37	1
231	37169	1
231	306	1
231	1045	1
231	664	1
231	153	1
231	36316	1
232	864	1
232	53	1
232	1046	1
233	960	1
233	962	1
233	644	1
233	730	1
233	731	1
233	958	1
233	959	1
234	283	1
234	468	1
235	15794	1
237	16291	1
237	4	1
237	426	1
237	15819	1
237	337	1
237	376	1
237	1049	1
237	1050	1
237	1051	1
237	541	1
238	448	1
238	16292	1
238	713	1
238	595	1
238	31477	1
238	23	2
238	859	1
238	1052	1
238	1053	1
238	1054	2
239	960	1
239	962	1
239	644	1
239	730	1
239	731	1
239	958	1
239	959	1
240	739	1
240	998	1
240	16296	1
240	298	1
240	77	1
240	56526	1
240	176	1
240	41522	1
240	116	1
241	480	1
241	15842	1
241	23916	1
241	70769	1
241	98713	1
241	72922	1
243	16082	1
243	16299	1
243	268	1
243	16298	1
243	1055	1
244	994	1
245	1056	1
245	1057	1
246	1058	1
246	298	1
246	843	1
246	719	1
246	402	1
246	883	1
246	20	1
246	255	2
246	15914	1
246	638	1
246	671	1
248	53667	1
248	25588	1
248	1061	1
248	598	1
248	439	2
249	15907	1
249	452	1
249	1062	1
249	1063	1
249	328	1
249	16012	2
249	564	1
249	920	1
250	1026	1
250	68	1
251	900	1
251	1064	1
251	1065	1
251	1066	1
251	1067	1
251	1069	1
251	1070	1
251	560	1
251	1073	1
251	1074	1
251	1075	1
251	16308	1
251	124	1
251	16306	1
252	37894	1
252	554	1
252	877	1
252	82608	1
252	1076	1
252	16127	1
253	19459	1
253	998	1
253	16296	1
253	15849	1
253	77	1
253	18701	1
253	1077	1
253	1078	1
253	85	1
254	995	1
254	1079	1
255	1080	1
255	595	1
256	225	1
256	543	1
256	1081	1
256	63	1
257	16196	1
257	48125	1
257	669	2
257	275	1
257	116	1
257	1082	1
257	347	1
257	477	1
257	16319	1
258	192	1
258	353	1
258	3	1
258	16324	1
258	30243	1
258	16327	1
258	362	1
258	590	1
258	79037	1
258	945	1
258	211	1
258	41302	1
258	576	1
258	618	1
258	1087	1
259	768	1
259	1089	2
259	17064	1
259	299	1
259	465	1
259	787	1
259	478	2
260	354	1
260	1091	1
260	1092	1
260	295	1
260	1090	1
260	222	1
261	1093	1
261	20174	1
261	16335	1
261	16337	1
261	1087	1
261	19741	1
261	318	1
261	805	1
262	421	1
262	1094	1
262	1095	1
262	209	1
262	918	1
262	700	1
262	16613	1
263	610	1
263	1096	1
263	1098	1
263	590	1
263	719	2
263	36488	1
263	16242	1
263	16243	1
263	1012	1
263	1013	1
263	884	1
263	20958	1
263	17621	1
264	593	2
264	1099	1
264	1100	1
264	1101	2
264	686	1
264	367	1
264	465	1
264	530	1
264	1103	1
264	477	1
265	1105	1
265	18059	1
265	945	1
265	29046	1
265	16344	1
265	859	1
265	26556	1
266	1107	1
266	900	1
266	1110	1
266	909	1
266	337	1
266	851	1
266	1108	1
266	723	1
266	248	1
266	15844	1
266	987	1
266	1087	1
268	323	1
268	361	1
268	1116	1
268	1118	1
268	1112	1
268	1114	1
268	828	1
268	222	1
271	1122	1
271	1123	2
271	1126	1
271	1101	1
271	173	1
271	656	1
271	370	1
271	446	1
271	621	1
273	353	1
273	1127	1
273	1128	1
273	15914	1
273	16366	1
273	1012	1
273	696	1
274	451	1
274	583	1
274	1129	1
274	1130	1
274	1131	1
274	1132	1
274	1133	1
274	16367	1
274	16369	1
274	274	1
274	15779	1
274	86	1
274	346	1
275	33763	1
275	17064	1
275	77	1
275	143	1
275	20	1
275	16476	1
275	318	1
276	1129	1
276	1134	1
276	1135	1
276	1137	1
276	1138	1
276	595	1
276	56535	1
276	16376	1
276	537	1
276	283	1
277	639	1
279	1056	1
279	1031	1
279	945	1
279	1142	1
279	607	1
279	21470	1
279	16383	1
280	739	1
280	328	1
280	17322	1
280	1143	1
280	16024	1
280	15769	1
280	72895	1
281	708	1
282	1144	1
282	1145	1
282	554	1
282	1147	1
282	1146	1
285	18266	1
285	17214	1
286	2	1
286	900	1
286	133	1
286	1151	1
286	16098	1
286	471	1
286	824	1
286	1017	1
286	827	1
286	39644	1
286	477	1
286	1150	1
286	671	1
287	1152	1
287	354	1
287	547	1
287	1156	1
287	1157	1
287	1154	1
287	9	1
287	15914	1
287	279	1
287	653	1
287	56526	1
287	656	1
287	1073	1
287	1155	1
287	52	1
287	343	1
287	184	1
287	16389	1
288	643	1
288	1092	1
288	615	1
288	1098	1
